,0,1,2,3,4,5,6,7,8,9
0,CS,1110,Introduction to Computing Using Python,Anne  Bracy,09:05AM,09:55AM,Bailey Hall 101,"Programming and problem solving using Python. Emphasizes principles of software development, style, and testing. Topics include procedures and functions, iteration, recursion, arrays and vectors, strings, an operational model of procedure and function calls, algorithms, exceptions, object-oriented programming. Weekly labs provide guided practice on the computer, with staff present to help. ",,"Fall, Spring, Summer."
1,CS,1112,Introduction to Computing Using MATLAB,Kit-Yee Daisy  Fan,02:40PM,03:30PM,Hollister Hall B14,"Programming and problem solving using MATLAB. Emphasizes the systematic development of algorithms and programs. Topics include iteration, functions, arrays, recursion, object-oriented programming, and MATLAB graphics. Assignments are designed to build an appreciation for complexity, dimension, fuzzy data, inexact arithmetic, randomness, simulation, and the role of approximation.","Corequisite: MATH 1110, MATH 1910, or equivalent.","Fall, Spring."
2,CS,1132,Short Course in MATLAB,Kit-Yee Daisy  Fan,02:40PM,03:30PM,Phillips Hall 219,"Introduction to the MATLAB programming language. Covers the basic programming constructs of MATLAB, including assignment, conditionals, iteration, functions, arrays, vectorized computation, and scientific graphics. Designed for students who need MATLAB for research or other courses. Does not assume any previous programming experience.",,"Fall, Spring."
3,CS,1133,Short Course in Python,Craig C. Frey,12:25PM,01:15PM,Upson Hall 142,"Introduction to the Python programming language. Covers the basic programming constructs of Python, including assignment, conditionals, iteration, functions, object-oriented design, arrays, and vectorized computation. Designed for students who need Python for research or other courses. Does not assume any previous programming experience.",,"Fall, Spring."
4,CS,1300,Introductory Design and Programming for the Web,Royal  Westwater,11:25AM,12:40PM,Olin Hall 165,"The World Wide Web is both a technology and a pervasive and powerful resource in our society and culture. To build functional and effective web sites, students need technical and design skills as well as analytical skills for understanding who is using the web, in what ways they are using it, and for what purposes. In this course, students develop skills in all three of these areas through the use of technologies such as XHTML, Cascading Stylesheets, and PHP. Students study how web sites are deployed and used, usability issues on the web, user-centered design, and methods for visual layout and information architecture. Through the web, this course provides an introduction to the interdisciplinary field of information science.",,"Fall, Spring."
5,CS,1340,Choices and Consequences in Computing,Jon M. Kleinberg,11:20AM,12:10PM,Bailey Hall 101,"Computing requires difficult choices that can have serious implications for real people. This course covers a range of ethical, societal, and policy implications of computing and information. It draws on recent developments in digital technology and their impact on society, situating these in the context of fundamental principles from computing, policy, ethics, and the social sciences. A particular emphasis will be placed on large areas in which advances in computing have consistently raised societal challenges: privacy of individual data; fairness in algorithmic decision-making; dissemination of online content; and accountability in the design of computing systems. As this is an area in which the pace of technological development raises new challenges on a regular basis, the broader goal of the course is to enable students to develop their own analyses of new situations as they emerge at the interface of computing and societal interests.",,Spring.
6,CS,1380,Data Science for All,Sumanta  Basu,10:10AM,11:00AM,Malott Hall 228-Bache Aud,"This course provides an introduction to data science using the statistical programming language R. We focus on building skills in inferential thinking and computational thinking, guided by the practical questions we seek to answer from data sets arising in medicine, economics and other social sciences. The course starts with essential R programming principles, and how to use R for data manipulation, visualization, and sampling. These techniques are then used to summarize and visualize real data sets, draw meaningful conclusions from those data, and assess the uncertainty surrounding those conclusions. Throughout the process, students will learn to develop hypotheses about their data, and use simulations and statistical techniques to test these hypotheses. The course also covers how to use the Tidyverse open-source R packages to clean and organize complex data sets, and create high quality graphics for data visualization.",,Spring.
7,CS,1710,Introduction to Cognitive Science,Shaun B. Nichols,11:25AM,12:40PM,Uris Hall G01,"This course provides an introduction to the science of the mind. Everyone knows what it's like to think and perceive, but this subjective experience provides little insight into how minds emerge from physical entities like brains. To address this issue, cognitive science integrates work from at least five disciplines: Psychology, Neuroscience, Computer Science, Linguistics, and Philosophy. This course introduces students to the insights these disciplines offer into the workings of the mind by exploring visual perception, attention, memory, learning, problem solving, language, and consciousness. ",,"Spring, Summer."
8,CS,1998,Freshmen and Nontechnical Team Projects,Walker Mcmillan White,07:30PM,08:20PM,Upson Hall 142,Freshmen and Nontechnical Team Projects.,,"Fall, Spring."
9,CS,2043,UNIX Tools and Scripting,Ronald  DiNapoli,12:25PM,01:15PM,Bill and Melinda Gates Hll G01,"UNIX and UNIX-like systems are increasingly being used on personal computers, mobile phones, web servers, and many other systems. They represent a wonderful family of programming environments useful both to computer scientists and to people in many other fields, such as computational biology and computational linguistics, in which data is naturally represented by strings. This course takes students from shell basics and piping, to regular-expression processing tools, to shell scripting and Python. Other topics to be covered include handling concurrent and remote resources, manipulating streams and files, and managing software installations.",Prerequisite: one programming course or equivalent programming experience. No previous knowledge of UNIX or expertise in any particular language is assumed.,Spring.
