,Dept,Number,Course_Name,Professor,Start_Time,End_Time,Location,Description,Pre/coreqs,Offered,Dept + Number,Class_Name,professor,median,semester,size,notes,SemesterN
0,AAS,1100,Introduction to Asian American Studies,Viranjini Munasinghe,02:55PM,04:10PM,To Be Assigned,"This interdisciplinary course offers an introduction to the study of Asian/Pacific Islanders in the U.S. This course will examine, through a range of disciplines (including history, literary studies,&amp;nbsp;film/media, performance, anthropology, sociology), issues and methods that have emerged from Asian American Studies since its inception in the late 1960s, including the types of research questions and methods that the study of Asians &amp; Pacific Islander peoples in the U.S. as well as politics and historical relations in the Asia/Pacific region have to offer. In this course, we will pay particular attention to the role of culture and its production in documenting histories, formulating critical practices, and galvanizing political efforts. Topics and themes include: war &amp; empire; queer &amp; feminist lives and histories; refugee, adoptees, transnational families, and other forms of kinship &amp; belonging; anti-Asian violence; settler colonialism and postcolonial critique.",,Spring.,AAS 1100,,,,,,,
1,AAS,2620,Introduction to Asian American Literature,Juliana Hu Pegues,11:25AM,12:40PM,To Be Assigned,"This course will introduce both a variety of writings by Asian North American authors and some critical issues concerning the production and reception of Asian American texts. Working primarily with novels, we will be asking questions about the relation between literary forms and the socio-historical context within which they take on their meanings, and about the historical formation of Asian American identities. This course satisfies the Literatures of the Americas requirement for English majors.",,Spring.,AAS 2620,,,,,,,
2,AAS,3312,Afro-Asia: Futurism and Feminism,Tao Goffe,10:10AM,11:25AM,To Be Assigned,"This course explores cultural representations of Afro-Asian intimacies and coalition in novels, songs, films, paintings, and poems. What affinities, loves and thefts, and tensions are present in cultural forms such as anime, jazz, kung fu, and K-pop? Students will consider the intersections and overlap between African and Asian diasporic cultures in global cities such as New York, Chicago, Havana, Lahore, Kingston, and Hong Kong to ask the question: when did Africa and Asia first encounter each other? This will be contextualized through a political and historical lens of the formation of a proto-Global South in the early twentieth, Afro-futurism, women of color feminisms, and Third World solidarity and internationalism. Tackling issues of race, gender, sexuality, and resistance, this seminar also reckons with the intertwined legacies of the institutions of African enslavement and Asian indenture by reading the novels of Patricia Powell and the paintings of Kehinde Wiley, for instance. Students will work in groups to produce Afro-Asia DJ visual soundtracks as part of the final project.",,Spring.,AAS 3312,,,,,,,
3,AAS,3378,Korean American Literature,Ivanna Yi,11:25AM,12:40PM,To Be Assigned,"The rapidly growing literature of the Korean diaspora is one of the most significant developments in Korean literature since the 20th century. As Korean literature has circulated as world literature, it has become more widely recognized in the Anglophone world through translation and through narratives written by Korean American authors. This course will explore Korean American literature and creative transpacific exchanges between Korea and the US, addressing issues of identity, language, place, migration, race discrimination, citizenship, and the ways in which storytelling shapes community. We will examine the vibrant dialogue between works of fiction and poetry across the Pacific, reading the work of Korean American authors alongside the writing of Korean authors working in the Korean language. Increasingly, Korean American writers are creating narratives that remember and reconfigure Korean history and Korea's relationship to the US, and we will explore narratives and poetry that offer new perspectives on the Japanese colonial period, the Korean War, and American imperialism such as Min Jin Lee's Pachinko, Chang-rae Lee's The Surrendered, and Don Mee Choi's DMZ Colony. Readings for the course will be in English or in English translation and no prior knowledge of Korea is required.",,Spring.,AAS 3378,,,,,,,
4,AAS,4950,Independent Study,Viranjini Munasinghe,,,,Independent reading course in topics not covered in regularly scheduled courses. Students select a topic in consultation with the faculty member who has agreed to supervise the course work.,,"Fall, Spring.",AAS 4950,,,,,,,
5,AAS,6457,Inclusion and Exclusion in American Law,Aziz Rana,11:00AM,12:25PM,To Be Assigned,,,,AAS 6457,,,,,,,
6,AAS,6630,Asian American Theory and Literature,Juliana Hu Pegues,02:40PM,04:35PM,To Be Assigned,"This graduate seminar focuses on Asian American studies through the dual lenses of theory and literature. Asian American literature provides a consideration of and reflection on Asian American subjectivities and bodies, collectively and differentially raced, gendered, and sexualized, which condition discourses and politics of American nation, empire, and sociality. The course is structured around pairings of texts, academic and literary, to enhance our own scholarly engagement with Asian American fiction and poetry. There is an additional focus on recently published scholarship and current concerns in Asian American studies, such as comparative and critical ethnic studies as well as queer studies.",,Fall or Spring.,AAS 6630,,,,,,,
7,AAS,7200,Directed Graduate Individual Study,Viranjini Munasinghe,,,,,,,AAS 7200,,,,,,,
8,AEM,1200,Introduction to Business Management,Stephen Sauer,11:25AM,12:40PM,To Be Assigned,"Provides an overview of management and business. Human resource, marketing, finance, and strategy concerns are addressed with consideration paid to current issues such as technological innovation and its impact on operations, globalization, ethics, teamwork, leadership, and entrepreneurship. Opportunity to deliver an integrative group project.",,"Fall, Winter, Spring, Summer.",AEM 1200,AEM 1200,Sauer,A-,SP22,,,-1.0
9,AEM,1500,An Introduction to the Economics of Environmental and Natural Resources,Catherine Kling,02:40PM,03:30PM,To Be Assigned,"This course provides an introduction to the economic foundations for public decision-making regarding environmental quality and natural resources. Emphasis is placed on how basic tools of economic analysis can be used to identify sources of environmental problems and solutions to these problems. Topics to be covered include ""individual hand"" concepts underlying market success, market failure with particular focus on public goods and externalities, benefit-cost analysis and non-market valuation, incentive-based policies for controlling pollution, and economic aspects of renewable and non-renewable resources.",,Spring.,AEM 1500,,,,,,,
10,AEM,2000,Contemporary Controversies in the Global Economy,Chris Barrett,11:20AM,12:10PM,To Be Assigned,"This course aims to stimulate critical thinking, economic reasoning, and cogent writing about contemporary controversies that attract regular attention in the international press and among key private and public sector decision-makers. Students read and discuss competing arguments about current issues such as morally questionable market exchange among willing buyers and sellers, immigration policy, foreign aid, sovereign debt forgiveness, regulating genetically modified foods, etc. Students write, edit, and rewrite short briefing papers which are evaluated for quality of communication as well as subject matter content.",Prerequisite: ECON 1110. Recommended prerequisite: ECON 1120.,Spring.,AEM 2000,,,,,,,
11,AEM,2010,Spreadsheet Modeling for Management and Economics,Reza Moghimi,01:00PM,02:15PM,To Be Assigned,"This course will place a strong emphasis on applied decision making in the business world using Excel as a business analytics tool. This is not just a ""how to use Excel"" course. We will cover the theory behind our decisions and apply the tools and methods to various business scenarios throughout the semester. Understanding the value of such skills, this course will introduce students to methods used to navigate tools and applications, or typical business scenarios where such capabilities can be leveraged in business. Students dedicated to success in this course can expect to achieve an intermediate to advanced knowledge of business analytic skills and Excel. Students will enjoy a thorough exposure to real world applications and learn to demonstrate these new capabilities in a business environment. AEM 2010 will help students understand the dynamics of using Excel to solve optimization problems, forecast future outcomes using assumptions and projections, and evaluate problems that involve uncertainty in order to inform business strategy and quantitative decision-making. In business analytic vernacular, students will learn to leverage descriptive, predictive and prescriptive analytic methods using data. The course also covers Text Management and Analytics.",,"Fall, Spring.",AEM 2010,AEM 2010,Moghimi,A+,SP22,145,,-1.0
12,AEM,2015,The Business Case for Diversity and Inclusion,Jennifer Majka,09:40AM,10:55AM,To Be Assigned,"Diversity is everywhere. But research and experience show diversity alone does not produce better results. To reap the benefits of diversity, organizational leaders must understand and be prepared to address the challenges of our diverse, interconnected world. One academically proven way to maximize the benefits differences bring to organizations is to combine diversity with cultural intelligence (CQ), the capability to relate and work effectively in culturally diverse situations. This course is designed to cultivate a theoretical and practical understanding and application of the business case for diversity and inclusion, and help develop cultural intelligence for working successfully in today's diverse, globalized reality. This course combines conceptual and experiential approaches to diversity and inclusion in organizations through exercises, case studies, discussions, readings, videos, guest speakers, and group work.",,Spring.,AEM 2015,,,,,,,
13,AEM,2020,"Better Decisions for Life, Love and Money",Tom Gilovich,01:00PM,02:15PM,To Be Assigned,"Effective judgments and decisions are critical to success in every avenue of life. This course will explore research on the principles of sound judgment and decision making, and on the ways in which people's judgments and decisions are prone to bias and error. The course aims to improve students' critical thinking skills and to enable them to make better judgments and decisions in an increasingly complicated world. The course is taught by a team of psychologists and economists who draw on recent research in psychology and behavioral economics that can benefit the lives of students.",,Spring.,AEM 2020,,,,,,,
14,AEM,2025,Work and Well-Being,Laura Niemi,09:40AM,10:55AM,To Be Assigned,"What is the good life? Is it more than personal achievement, excellent health, and contentment? This course examines well-being in the context of work, with a focus on a sometimes-neglected aspect of the good life: doing good by contributing to the well-being of others and the planet. In this class, students will discover frameworks from social and moral psychology that help them identify their own ethical beacons, or what ""really matters"" (e.g., sustainability; reducing inequality), and develop a crucial skill in management: self-awareness. Through a combination of reflection and critical analysis of theory and research findings, students will build a practical understanding of a range of topics related to well-being at work, including meaning, authenticity, workplace culture, stress and burn-out, and organizational and personal values. At the same time, students will have the opportunity to envision a blueprint for their own future work as ethical leaders.",,Spring.,AEM 2025,,,,,,,
15,AEM,2050,Introduction to Agricultural Finance,Christopher Wolf,11:25AM,12:40PM,To Be Assigned,"Introductory course which provides an overview of principles and practices of agricultural and development finance, from the perspectives of the business owner, lender, and policymaker. Topics include sources of capital, financing entry into agriculture, financial analysis, capital management, financial statements, credit instruments, loan analysis, and financial risk. Applications in farm investments, the Farm Credit System, crop insurance, and risk management.",Recommended prerequisite: MATH 1110 and/or AEM 2100 and/or a course in economics.,Spring.,AEM 2050,,,,,,,
16,AEM,2210,Financial Accounting,Marquise Riley,11:25AM,12:40PM,To Be Assigned,"Comprehensive introduction to financial accounting concepts and techniques, intended to provide a basic understanding of the accounting cycle, elements of financial statements, underlying theory of GAAP, and financial statement interpretation. Topics include methods of recording inventory, receivables, depreciation, bonds, and equity. Requires two evening prelims and a comprehensive final; weekly homework assignments.",,"Fall, Winter, Spring, Summer.",AEM 2210,AEM 2210,Szpiro,B+,FA21,201,,0.0
17,AEM,2225,Financial Accounting For Dyson Majors,Marquise Riley,01:00PM,02:15PM,To Be Assigned,"Comprehensive introduction to financial accounting concepts and applications. Focuses primarily on recording and communicating financial information for use by external users such as investors, creditors and regulators, and is intended to provide a basic understanding of the accounting cycle, elements of financial statements, Generally Accepted Accounting Principles, and financial statement interpretation. Topics include accounting for inventory, receivables, depreciation, bonds, equity, and cash flows.",,"Fall, Spring.",AEM 2225,,,,,,,
18,AEM,2240,Finance for Dyson Majors,Jawad Addoum,09:40AM,10:55AM,To Be Assigned,"Focuses on the mathematics of finance, valuation, and the economics of managerial decisions, corporate financial policy, risk management, and investments. Topics include the time value of money, bond and stock valuation, capital-budgeting decisions, financing alternatives, the cost of capital and the capital-structure decision, distribution policy, mergers and acquisitions and restructuring, options, forward and futures contracts, market efficiency and market anomalies, strategies of successful investors, and personal finance.","Prerequisite: AEM 2100, AEM 2200 and AEM 2225, or equivalents.",Spring.,AEM 2240,AEM 2240,Addoum ,A-,SP22,,,-1.0
19,AEM,2241,Finance,Rich Curtis,01:00PM,02:15PM,To Be Assigned,"This course is a survey of topics in finance. It focuses on the mathematics of finance, valuation, the economics of managerial decisions, corporate financial policy, risk management, investments, and personal finance.","Prerequisite: AEM 2100, AEM 2210, or equivalents.","Fall, Spring.",AEM 2241,AEM 2241,Curtis,A-,SP21,3152,,1.0
20,AEM,2300,International Trade and Finance,Arnab Basu,11:25AM,12:40PM,To Be Assigned,"One-semester introduction to international economic principles and issues. Begins by surveying key topics such as the elements of comparative advantage, tariff and nontariff barriers, and multilateral institutions. The second part of the course treats selected topics in international finance, including exchange rates, balance of payments, and capital markets. Discusses current issues such as the effects of trade liberalization, trade and economic growth, and instability in international capital markets. Designed as a less technical introduction to concepts developed at a more advanced level in AEM 4300 and ECON 4510-ECON 4520.",Prerequisite: ECON 1110. Recommended Prerequisite: ECON 1120.,Spring.,AEM 2300,,,,,,,
21,AEM,2310,Business and Economics of Food,Bradley Rickard,09:40AM,10:55AM,To Be Assigned,"This course will examine the food system from an economic and business perspective. In the first part of the course, students will study the key economic and regulatory elements that affect the production of food. The second section will focus on the business aspects of food and beverage processing, distribution and retailing, and the material in the final section will focus on a range of contemporary business and economic issues that are relevant to consumers of food and beverages.",Prerequisite: ECON 1110.,Spring.,AEM 2310,AEM 2310,Rickard,A-,SP22,48,,-1.0
22,AEM,2420,Marketing for Dyson Majors,Suzanne Shu,01:00PM,02:15PM,To Be Assigned,"Provides a broad introduction to the fundamentals of marketing. Explores the components of an organization's strategic marketing program, including targeting and positioning, and how to price, promote, and distribute goods and services. Marketing applications from various companies are presented and analyzed via multiple case discussions and field projects.",,Spring.,AEM 2420,AEM 2420,Shu,A-,SP22,272,"may change professors every semester as this course tends to do that, if not Prof Shu is gr8 exams can be tough though",-1.0
23,AEM,2480,Food and Consumer Packaged Goods Industry Dynamics,Daniel Hooker,11:25AM,12:40PM,To Be Assigned,"Covers merchandising principles and practices as they apply to food industry situations. Examines the various elements of merchandising such as buying, pricing, advertising, promotion, display, store layout, profit planning and control, and merchandising strategy. Considers the consequences of food industry trends and initiatives for other industry members, public policy makers, and consumers.",Prerequisite: AEM 2200 and AEM 2420 or equivalents.,Spring.,AEM 2480,,,,,,,
24,AEM,2601,Strategy,Daniela Scur,09:40AM,10:55AM,To Be Assigned,"This course analyzes the sources of firms' competitive advantage and develops the knowledge and skills necessary to be an effective strategy analyst. The course is grounded in microeconomic concepts taught in AEM 2600 in terms of discipline, and draws from corporate finance, marketing, human resource management and organization science. This course uses both lecture, discussion and case studies to encourage students to develop skills in formulating strategy in a practical context.","Prerequisite: ECON 1110, MATH 1110.",Spring.,AEM 2601,AEM 2601,Scur,A-,SP22,272,,-1.0
