,Dept + Number,Professor,Median Grade,Semester (Ex: SP21),# of Students,Notes,Semester
152,CHEM 3570,Lin,B+,FA21,542,The median was actually a B/B+ but he put in a A- on our transcript because of weird grading bc of the finals week covid situation and INC so :/,0.0
151,CHEM 2510,Kinsland,B+,FA21,259,,0.0
358,GOVT 4000,Various,A-,FA21,45,Gov Major Seminar. The total of 45 students is divided across iirc 3-4 courses under the same number. Each class has max 15 students.,0.0
359,HADM 1150,Tang,B+,FA21,123,,0.0
154,CHEM 3580,Fors,B,FA21,454,,0.0
492,MATH 4130,"Harris, Zhou",A-,FA21,46,separate sections,0.0
156,CHEM 3600,Milner,B+,FA21,35,,0.0
491,MATH 3610,Vladimirsky,A-,FA21,17,,0.0
263,ECE 2720,Krishnamurthy,A,FA21,60,Crosslisted with ENGRD 2720,0.0
262,ECE 2400,Batten,A-,FA21,53,crosslisted with ENGRD 2140,0.0
484,MATH 2940,Swartz,B+,FA21,370,,0.0
482,MATH 2930,Ritz/Esmaily,B,FA21,401,,0.0
163,CHIN 2209,George,A-,FA21,42,,0.0
477,MATH 2230,Ramakrishna,A-,FA21,22,,0.0
474,MATH 2210,Townsend,B+,FA21,183,"If you can choose a professor, make sure to get the better one in Prof Rating. Good Professor in this course will make it a million times easier",0.0
260,ECE 2300,Helbling,B+,FA21,113,crosslisted with ENGRD 2300,0.0
167,CLASS 2604,Clary,A,FA21,182,,0.0
168,COML 1104 (FWS: Reading Films),Monroe,A-,FA21,34,,0.0
471,MATH 1920,Connelly/Manning/Belk,B+,FA21,442,,0.0
258,ECE 2100,Shealy,A-,FA21,72,"crosslisted with ENGRD 2100, Professor Shealy's last semester teaching",0.0
469,MATH 1910,Ruina,B,FA21,132,,0.0
368,HADM 1650,Stewart-Harris,B+,FA21,135,,0.0
174,COML 1119 (FWS: Russian Lit),Krivitsky,A,FA21,17,,0.0
464,MATH 1110,Schmultzer,A-,FA21,540,,0.0
371,HADM 2010,Chestnut,A-,FA21,139,,0.0
460,MAE 4900,,A,FA21,324,project team course number,0.0
150,CHEM 2150,Davis,B+,FA21,77,"If you don't study a lot, be prepared to take some L's",0.0
459,MAE 4351,Callister/Murtagh,A-,FA21,13,crosslisted w/ MSE 5070 and CHEME 5730,0.0
353,GOVT 3121,Marguiles,A-,FA21,119,crosslisted with AMST 3121,0.0
497,MATH 4220,Randles,A-,FA21,21,,0.0
120,BME 2210,Saikia,B+,FA21,48,no curve F21,0.0
344,GERST 1210,Lischke,A-,FA21,40,,0.0
390,HD 2350,Kedar,A,FA21,28,,0.0
123,BME 3030,Adie,A-,FA21,39,,0.0
125,BSOC 2101,Harrington,A,FA21,215,,0.0
523,NS 1150,Michael,B+,FA21,178,,0.0
127,BSOC 3011,Ratcliff,A,FA21,68,,0.0
516,MUSIC 3621,Di Russo,A+,FA21,79,,0.0
271,ECON 1110,Sanders/Thomas,B+,FA21,889,,0.0
131,BTRY 4381,Yu,A-,FA21,24,,0.0
510,MUSIC 1421,Ernste,A,FA21,36,,0.0
349,GOVT 1817,Kreps,B+,FA21,84,,0.0
134,CEE 3040,Daziano,B+,FA21,87,,0.0
508,MUSIC 1101,Pond,A,FA21,54,,0.0
