,Unnamed: 0,Dept,Number,Course_Name,Professor,Start_Time,End_Time,Location,Description,Pre/coreqs,Offered,Dept + Number,Median Grade,Semester (Ex: SP21),Pre/Coreqs,ID,Name,Number_of_Ratings,Average_Rating,Difficulty,Take Again
0,0.0,CS,1110.0,Introduction to Computing Using Python,Anne Bracy,09:05AM,09:55AM,Bailey Hall 101,"Programming and problem solving using Python. Emphasizes principles of software development, style, and testing. Topics include procedures and functions, iteration, recursion, arrays and vectors, strings, an operational model of procedure and function calls, algorithms, exceptions, object-oriented programming. Weekly labs provide guided practice on the computer, with staff present to help. ",,"Fall, Spring, Summer.",CS 1110,B+,FA21,[],2109847.0,Anne Bracy,43.0,3.0,4.0,52.5
1,21.0,CS,3410.0,Computer System Organization and Programming,Anne Bracy,11:20AM,12:10PM,Uris Hall G01,"Introduction to computer organization, systems programming and the hardware/ software interface. Topics include instruction sets, computer arithmetic, datapath design, data formats, addressing modes, memory hierarchies including caches and virtual memory, I/O devices, bus-based I/O systems, and multicore architectures. Students learn assembly language programming and design a pipelined RISC processor.",Prerequisite: CS 2110 or equivalent programming experience. Recommended prerequisite: CS 2024. Should not take CS 3110 concurrently.,"Fall, Spring.",CS 3410,B+,FA20,[],2109847.0,Anne Bracy,43.0,3.0,4.0,52.5
2,22.0,CS,3410.0,Computer System Organization and Programming,Anne Bracy,11:20AM,12:10PM,Uris Hall G01,"Introduction to computer organization, systems programming and the hardware/ software interface. Topics include instruction sets, computer arithmetic, datapath design, data formats, addressing modes, memory hierarchies including caches and virtual memory, I/O devices, bus-based I/O systems, and multicore architectures. Students learn assembly language programming and design a pipelined RISC processor.",Prerequisite: CS 2110 or equivalent programming experience. Recommended prerequisite: CS 2024. Should not take CS 3110 concurrently.,"Fall, Spring.",CS 3410,B+,SP21,[],2109847.0,Anne Bracy,43.0,3.0,4.0,52.5
3,23.0,CS,3410.0,Computer System Organization and Programming,Anne Bracy,11:20AM,12:10PM,Uris Hall G01,"Introduction to computer organization, systems programming and the hardware/ software interface. Topics include instruction sets, computer arithmetic, datapath design, data formats, addressing modes, memory hierarchies including caches and virtual memory, I/O devices, bus-based I/O systems, and multicore architectures. Students learn assembly language programming and design a pipelined RISC processor.",Prerequisite: CS 2110 or equivalent programming experience. Recommended prerequisite: CS 2024. Should not take CS 3110 concurrently.,"Fall, Spring.",CS 3410,B+,FA21,[],2109847.0,Anne Bracy,43.0,3.0,4.0,52.5
4,1.0,CS,1112.0,Introduction to Computing Using MATLAB,Kit-Yee Daisy Fan,02:40PM,03:30PM,Hollister Hall B14,"Programming and problem solving using MATLAB. Emphasizes the systematic development of algorithms and programs. Topics include iteration, functions, arrays, recursion, object-oriented programming, and MATLAB graphics. Assignments are designed to build an appreciation for complexity, dimension, fuzzy data, inexact arithmetic, randomness, simulation, and the role of approximation.","Corequisite: MATH 1110, MATH 1910, or equivalent.","Fall, Spring.",CS 1112,B,FA21,[],,,,,,
5,2.0,CS,1132.0,Short Course in MATLAB,Kit-Yee Daisy Fan,02:40PM,03:30PM,Phillips Hall 219,"Introduction to the MATLAB programming language. Covers the basic programming constructs of MATLAB, including assignment, conditionals, iteration, functions, arrays, vectorized computation, and scientific graphics. Designed for students who need MATLAB for research or other courses. Does not assume any previous programming experience.",,"Fall, Spring.",CS 1132,,,[],,,,,,
6,3.0,CS,1133.0,Short Course in Python,Craig Frey,12:25PM,01:15PM,Upson Hall 142,"Introduction to the Python programming language. Covers the basic programming constructs of Python, including assignment, conditionals, iteration, functions, object-oriented design, arrays, and vectorized computation. Designed for students who need Python for research or other courses. Does not assume any previous programming experience.",,"Fall, Spring.",CS 1133,,,[],2555662.0,Craig Frey,2.0,4.5,1.5,100.0
7,4.0,CS,1300.0,Introductory Design and Programming for the Web,Royal Westwater,11:25AM,12:40PM,Olin Hall 165,"The World Wide Web is both a technology and a pervasive and powerful resource in our society and culture. To build functional and effective web sites, students need technical and design skills as well as analytical skills for understanding who is using the web, in what ways they are using it, and for what purposes. In this course, students develop skills in all three of these areas through the use of technologies such as XHTML, Cascading Stylesheets, and PHP. Students study how web sites are deployed and used, usability issues on the web, user-centered design, and methods for visual layout and information architecture. Through the web, this course provides an introduction to the interdisciplinary field of information science.",,"Fall, Spring.",CS 1300,,,[],,,,,,
8,104.0,INFO,1300.0,Introductory Design and Programming for the Web,Royal Westwater,11:25AM,12:40PM,Olin Hall 165,"The World Wide Web is both a technology and a pervasive and powerful resource in our society and culture. To build functional and effective web sites, students need technical and design skills as well as analytical skills for understanding who is using the web, in what ways they are using it, and for what purposes. In this course, students develop skills in all three of these areas through the use of technologies such as XHTML, Cascading Stylesheets, and PHP. Students study how web sites are deployed and used, usability issues on the web, user-centered design, and methods for visual layout and information architecture. Through the web, this course provides an introduction to the interdisciplinary field of information science.",,"Fall, Spring.",INFO 1300,A,FA21,[],,,,,,
9,5.0,CS,1340.0,Choices and Consequences in Computing,Jon Kleinberg,11:20AM,12:10PM,Bailey Hall 101,"Computing requires difficult choices that can have serious implications for real people. This course covers a range of ethical, societal, and policy implications of computing and information. It draws on recent developments in digital technology and their impact on society, situating these in the context of fundamental principles from computing, policy, ethics, and the social sciences. A particular emphasis will be placed on large areas in which advances in computing have consistently raised societal challenges: privacy of individual data; fairness in algorithmic decision-making; dissemination of online content; and accountability in the design of computing systems. As this is an area in which the pace of technological development raises new challenges on a regular basis, the broader goal of the course is to enable students to develop their own analyses of new situations as they emerge at the interface of computing and societal interests.",,Spring.,CS 1340,,,[],136263.0,Jon Kleinberg,27.0,4.7,2.4,100.0
